"","x"
"1307",14495225
"1308",1725768
"1309",17958729
"1310",18335099
"1311",1922642
"1312",21020409
"1313",21025198
"1314",21544679
"1315",21582884
"1316",21955781
"1317",22023612
"1318",22073770
"1319",22899196
"1320",24222365
"1321",25548983
"1322",26141712
"1323",26455651
"1324",26587943
"1325",27014280
"1326",27110382
"1327",27146202
"1328",27228544
"1329",27291571
"1330",27527478
"1331",28220495
"1332",28445658
"1333",28895028
"1334",29216769
"1335",29469886
"1336",29692059
"1337",29721696
"1338",29731785
"1339",29812497
"1340",30152698
"1341",30294880
"1342",30404940
"1343",30651595
"1344",3180563
"1345",3182426
"1346",3590892
"1347",3836240
"1348",385794
"1349",5061417
"1350",5124930
"1351",514114
"1352",5252217
"1353",5413821
"1354",623799
"1355",696401
"1356",7814147
"1357",9021594
"1358",9991949
"1359",13575101
"1360",13597837
"1361",14091954
"1362",14940643
"1363",15476909
"1364",15893014
"1365",16103569
"1366",16131928
"1367",1668440
"1368",1714338
"1369",17881897
"1370",18466707
"1371",1916082
"1372",1960885
"1373",20666856
"1374",20994104
"1375",21231965
"1376",21316286
"1377",23037831
"1378",23564629
"1379",24611706
"1380",25618472
"1381",26155899
"1382",27176183
"1383",28343021
"1384",28799459
"1385",28879900
"1386",29204330
"1387",29293206
"1388",29305833
"1389",29445568
"1390",29795191
"1391",29798602
"1392",29990888
"1393",30062707
"1394",3253789
"1395",3527497
"1396",3910590
"1397",4909454
"1398",5924177
"1399",7002167
"1400",7289197
"1401",7610216
"1402",7650447
"1403",775701
"1404",9093299
"1405",9756059
"1406",10447839
"1407",10688102
"1408",11021696
"1409",11473712
"1410",11693682
"1411",12187889
"1412",12722028
"1413",12923368
"1414",13536051
"1415",13709356
"1416",14001693
"1417",14151804
"1418",14296372
"1419",14492635
"1420",15142432
"1421",15688617
"1422",16259081
"1423",164809
"1424",18277735
"1425",18322301
"1426",20803197
"1427",2101004
"1428",21283374
"1429",22797993
"1430",22828709
"1431",23492792
"1432",23590432
"1433",2416735
"1434",24213745
"1435",24251987
"1436",24675806
"1437",24895938
"1438",26573184
"1439",2714329
"1440",27246979
"1441",27304017
"1442",27600243
"1443",27677393
"1444",28573900
"1445",28586212
"1446",28685069
"1447",29033421
"1448",29142079
"1449",29153761
"1450",29195567
"1451",29345407
"1452",29433003
"1453",30428360
"1454",3636370
"1455",4330556
"1456",5495904
"1457",5672268
"1458",6954226
"1459",6991577
"1460",7358083
"1461",8963080
"1462",9209291
"1463",9426380
"1464",9451157
"1465",9946013
"1466",10252205
"1467",11602647
"1468",12913531
"1469",13569894
"1470",15021978
"1471",15026072
"1472",15030149
"1473",15808317
"1474",16741888
"1475",1683869
"1476",19931150
"1477",23659905
"1478",24487725
"1479",2530784
"1480",26171695
"1481",26918704
"1482",27040653
"1483",27118503
"1484",27187291
"1485",27309707
"1486",27545101
"1487",27738008
"1488",28284146
"1489",28349847
"1490",28519910
"1491",28917909
"1492",29291633
"1493",29362832
"1494",29389167
"1495",29451806
"1496",29622923
"1497",29712626
"1498",29796534
"1499",30227878
"1500",30421827
"1501",30696823
"1502",3362951
"1503",3442240
"1504",4131576
"1505",4241871
"1506",4707018
"1507",4785779
"1508",6331020
"1509",6525269
"1510",700912
"1511",7370882
"1512",7385345
"1513",804151
"1514",9466116
"1515",9939544
"1516",11206675
"1517",11583677
"1518",12917060
"1519",12919699
"1520",14014169
"1521",1406254
"1522",1453649
"1523",15344746
"1524",16900440
"1525",17298492
"1526",18206104
"1527",19754004
"1528",20555762
"1529",21409493
"1530",21542620
"1531",24060413
"1532",24673413
"1533",25721542
"1534",26546050
"1535",26660134
"1536",26721820
"1537",26734790
"1538",26831990
"1539",2704944
"1540",27163711
"1541",27494983
"1542",27534492
"1543",27928206
"1544",2795692
"1545",28244781
"1546",28381022
"1547",28567341
"1548",29331224
"1549",29383452
"1550",29467251
"1551",29579121
"1552",29719116
"1553",29995110
"1554",30086173
"1555",30090664
"1556",30130948
"1557",30280861
"1558",30442041
"1559",4009555
"1560",4354877
"1561",4820752
"1562",4978118
"1563",5414059
"1564",6485517
"1565",6754437
