"","x"
"1041",15597989
"1042",15641169
"1043",16157878
"1044",16180430
"1045",16235754
"1046",16261629
"1047",16336400
"1048",16369378
"1049",16889713
"1050",17300479
"1051",1765929
"1052",17865013
"1053",17921498
"1054",18150961
"1055",18226327
"1056",18306850
"1057",18938804
"1058",19382619
"1059",19574111
"1060",19926714
"1061",19955965
"1062",20273881
"1063",20529724
"1064",20593642
"1065",20768161
"1066",20781599
"1067",21178741
"1068",21220383
"1069",21276337
"1070",21489386
"1071",2159408
"1072",21904500
"1073",21916408
"1074",21970200
"1075",21972389
"1076",21989462
"1077",22055098
"1078",22241442
"1079",22243305
"1080",22416330
"1081",22551114
"1082",22582354
"1083",22790568
"1084",2285660
"1085",23402864
"1086",23625588
"1087",23717649
"1088",23767149
"1089",23901103
"1090",23935962
"1091",24111479
"1092",2427112
"1093",24335101
"1094",24697740
"1095",24868731
"1096",24870251
"1097",24924521
"1098",25582807
"1099",26113121
"1100",26125605
"1101",26228485
"1102",2669862
"1103",27011330
"1104",27128313
"1105",27140166
"1106",27281818
"1107",27475578
"1108",27814931
"1109",27826433
"1110",28220100
"1111",28246940
"1112",28276217
"1113",28339073
"1114",28483505
"1115",28572362
"1116",28904868
"1117",28938663
"1118",29148056
"1119",29278485
"1120",29518523
"1121",29551526
"1122",29714417
"1123",29726621
"1124",29777751
"1125",29862260
"1126",30305150
"1127",30316086
"1128",3033631
"1129",30461535
"1130",30718477
"1131",30843630
"1132",3370727
"1133",350957
"1134",3532196
"1135",3551519
"1136",4006476
"1137",4271652
"1138",4292721
"1139",4433689
"1140",4816387
"1141",5023683
"1142",523531
"1143",5402358
"1144",6200034
"1145",6523577
"1146",6555419
"1147",6826003
"1148",6838163
"1149",6852617
"1150",6872633
"1151",7822673
"1152",9266334
"1153",9446730
"1154",9595988
"1155",9773250
"1156",9812599
"1157",9963277
"1158",10058347
"1159",10354816
"1160",10635526
"1161",1084946
"1162",10867493
"1163",11218843
"1164",11353915
"1165",1136326
"1166",11800503
"1167",11819927
"1168",11916307
"1169",1203547
"1170",12906620
"1171",12995460
"1172",13047254
"1173",13096890
"1174",13326218
"1175",13418243
"1176",13583420
"1177",13742289
"1178",14113204
"1179",1434910
"1180",14427675
"1181",14557202
"1182",14807446
"1183",14866964
"1184",14938603
"1185",15188641
"1186",1522705
"1187",15459136
"1188",1551299
"1189",15581572
"1190",15671194
"1191",15708085
"1192",16100745
"1193",16210419
"1194",16233027
"1195",16315819
"1196",16485415
"1197",16565687
"1198",16913455
"1199",16922365
"1200",17076911
"1201",18479490
"1202",1865398
"1203",18750704
"1204",19618168
"1205",19701921
"1206",20916095
"1207",21134821
"1208",21144253
"1209",21537653
"1210",21593020
"1211",21775316
"1212",21921999
"1213",2238915
"1214",22428202
"1215",22767413
"1216",23324457
"1217",23326040
"1218",23653416
"1219",2367714
"1220",23754225
"1221",23802203
"1222",23895391
"1223",23928592
"1224",23951550
"1225",24063997
"1226",24126807
"1227",24261924
"1228",24540438
"1229",24595014
"1230",2474878
"1231",24812238
"1232",2537526
"1233",25544161
"1234",25763889
"1235",25767830
"1236",25830578
"1237",25902749
"1238",26001946
"1239",26079130
"1240",26201205
"1241",26232814
"1242",26438816
"1243",2645049
"1244",26677415
"1245",27156881
"1246",27287011
"1247",27491779
"1248",27604269
"1249",27738919
"1250",27793152
"1251",28013345
"1252",28209465
"1253",28488213
"1254",28660365
"1255",28755388
"1256",28893547
"1257",29090592
"1258",29096389
"1259",29156490
"1260",29171385
"1261",29293056
"1262",29432655
"1263",29498374
"1264",29677140
"1265",29700684
"1266",29752128
"1267",29776285
"1268",29776861
"1269",29792160
"1270",29808757
"1271",30410082
"1272",30455425
"1273",3052505
"1274",3104831
"1275",3365102
"1276",3599914
"1277",3627958
"1278",3772795
"1279",3773686
"1280",3849998
"1281",388443
"1282",4001607
"1283",4404277
"1284",4996893
"1285",5881970
"1286",5885859
"1287",6243597
"1288",6580494
"1289",6641397
"1290",6718482
"1291",6797232
"1292",6998121
"1293",7505342
"1294",7688395
"1295",8924977
"1296",938280
"1297",9435256
"1298",9692738
"1299",9765719
"1300",10055882
"1301",10123048
"1302",10260604
"1303",10428815
"1304",10459848
"1305",10492689
"1306",10602181
"1307",10608923
"1308",11031472
"1309",11081585
"1310",11115307
"1311",11283446
"1312",1141880
"1313",11473274
"1314",11574326
"1315",11596782
"1316",11617454
"1317",11725265
"1318",12035105
"1319",13149568
"1320",13395907
"1321",13489138
"1322",13564053
"1323",13760073
"1324",13818033
"1325",13867868
"1326",13910319
"1327",14069575
"1328",14121963
"1329",15030574
"1330",1513715
"1331",15333082
"1332",15888960
"1333",15906996
"1334",16036937
"1335",16208495
"1336",16753490
"1337",17032541
"1338",17681749
"1339",18109734
"1340",1851952
"1341",18674737
"1342",19015548
"1343",1917229
"1344",195862
"1345",19748598
"1346",19781933
"1347",19947623
"1348",2005897
"1349",20475375
"1350",2067024
"1351",21018623
"1352",21077646
"1353",21235181
"1354",21244497
"1355",21459741
"1356",21991515
"1357",22415973
"1358",22598494
"1359",22661079
"1360",23422143
"1361",23686808
"1362",2385742
"1363",23870137
"1364",2401220
"1365",24126727
"1366",2420625
"1367",24360501
"1368",24604555
"1369",2466373
"1370",25633712
"1371",2566778
"1372",26007707
"1373",26192612
"1374",26205022
"1375",26420816
"1376",26509160
"1377",26556843
"1378",26636501
"1379",26641640
"1380",26953996
"1381",27147233
"1382",27762076
"1383",27828587
"1384",28028755
"1385",28089361
"1386",28155727
"1387",2818075
"1388",28256167
"1389",28449857
"1390",28564714
"1391",28679221
"1392",28932986
"1393",28982080
"1394",29229878
"1395",29239147
"1396",29505231
"1397",29551861
"1398",29591722
"1399",29606897
"1400",29736668
"1401",29769608
"1402",30161747
"1403",30280619
"1404",30335744
"1405",30391562
"1406",30459567
"1407",30471833
"1408",30588447
"1409",3098498
"1410",3165718
"1411",3511380
"1412",393051
"1413",4044557
"1414",4182761
"1415",4668618
"1416",467455
"1417",4754838
"1418",4782134
"1419",4954881
"1420",4979596
"1421",5069838
"1422",5072988
"1423",5625830
"1424",5913948
"1425",6187728
"1426",6267754
"1427",6288535
"1428",7096627
"1429",720769
"1430",7344559
"1431",7625151
"1432",7631587
"1433",7636500
"1434",7639750
"1435",7692148
"1436",8959538
"1437",9095921
"1438",9388007
"1439",9657008
"1440",9769662
"1441",10032824
"1442",10052138
"1443",10285121
"1444",10573978
"1445",10667785
"1446",10716203
"1447",10749801
"1448",10761366
"1449",10777792
"1450",10888889
"1451",11109035
"1452",11272593
"1453",11305217
"1454",11366887
"1455",11494588
"1456",11966917
"1457",12334456
"1458",1238073
"1459",12529441
"1460",12636479
"1461",12739358
"1462",12891566
"1463",12988910
"1464",13057345
"1465",13067759
"1466",13267919
"1467",13326797
"1468",13589840
"1469",13825324
"1470",13853846
"1471",13899512
"1472",13977551
"1473",14051737
"1474",14177512
"1475",14834015
"1476",14933079
"1477",15249465
"1478",15396165
"1479",15588270
"1480",15761312
"1481",1602492
"1482",16268823
"1483",16318791
"1484",16868566
"1485",16911675
"1486",16920873
"1487",17265436
"1488",17285083
"1489",17300445
"1490",17654083
"1491",17767952
"1492",17783945
"1493",17785321
"1494",18121218
"1495",18247075
"1496",1846076
"1497",18825145
"1498",19280192
"1499",19821894
"1500",19944087
"1501",19957632
"1502",205429
"1503",20632182
"1504",20921479
"1505",21040160
"1506",2119351
"1507",21475492
"1508",2150527
"1509",21509296
"1510",21539851
"1511",21790384
"1512",22182117
"1513",22351489
"1514",22597108
"1515",22613082
"1516",22647896
"1517",22685812
"1518",22730659
"1519",22828316
"1520",23416727
"1521",23662085
"1522",23682470
"1523",23891207
"1524",23939367
"1525",23952317
"1526",24068417
"1527",24333647
"1528",24494702
"1529",24638883
"1530",24680589
"1531",24772776
"1532",24937944
"1533",25532661
"1534",25629060
"1535",25830129
"1536",25895119
"1537",25953349
"1538",26426992
"1539",26456557
"1540",26960430
"1541",26965417
"1542",27154074
"1543",27266601
"1544",27411238
"1545",27696611
"1546",28149905
"1547",28194374
"1548",28205371
"1549",28390637
"1550",28554996
"1551",28626554
"1552",28823384
"1553",28974305
"1554",29110168
"1555",29170702
"1556",29375075
"1557",29685116
"1558",29696547
"1559",29705681
"1560",29730746
"1561",29754533
"1562",29791721
"1563",29811502
"1564",29861741
"1565",30377640
"1566",30387108
"1567",30409086
"1568",30426591
"1569",3178201
"1570",3497441
"1571",3600805
"1572",3681095
"1573",3691184
"1574",3746057
"1575",3843464
"1576",3892479
"1577",430087
"1578",4456470
